"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분","폐교여부","폐교일자","휴교여부"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000743","경주화랑고등학교","04","사립","특성화고등학교","N","단설","주간","19980324","19980204","4713031534","경북 경주시 양북면 장항리","333번지.","780894","38120","경상북도 경주시 양북면 장항재동길 41","(양북면,경주화랑고등학교)","35.7942855","129.3875921","054-771-2355","054-771-2356","https://school.gyo6.net/hwarang","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000746","계림고등학교","04","공립","일반고등학교","N","단설","주간","19841229","19841229","4713012400","경상북도 경주시 황성동","897-1.","780955","38082","경상북도 경주시 용담로 122","(황성동)","35.866118","129.208413","054-742-3398","054-743-8650","https://school.gyo6.net/gyerim","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 고령군","S150000748","한국조리명장고등학교","04","공립","특성화고등학교","N","단설","주간","19540518","19540518","4783025300","경상북도 고령군 고령읍 연조리","4번지.","717804","40136","경상북도 고령군 대가야읍 우륵로 63","한국조리명장고등학교","35.7356519","128.2701005","054-956-3042","054-956-3046","http://school.gyo6.net/goryeong","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","","S150000749","고령여자종합고등학교","04","공립","","N","","주간","","","4783025026","경북 고령군 고령읍 지산리","337번지.","717801","","","","","","0118219728","054-954-1375","http://www.gogirls.hs.kr","","Y","20100301","N"
"경상북도교육청","경상북도교육청","경상북도 포항시 남구","S150000751","구룡포여자종합고등학교","04","공립","특수목적고등학교","N","병설","주간","19830110","19830110","4711125028","경북 포항시 남구 구룡포읍 병포리","139-1번지.","790804","","","","","","054-276-5046","054-284-2379","http://gugch.hs.kr","녀","Y","20120301","N"
"경상북도교육청","경상북도교육청","경상북도 포항시 남구","S150000752","포항과학기술고등학교","04","공립","특성화고등학교","N","병설","주간","19510830","19510830","4711125028","경상북도 포항시 남구 구룡포읍 병포3리","139-1.","790803","37931","경상북도 포항시 남구 구룡포읍 호미로 341","(구룡포읍, 포항과학기술고등학교)","35.9917733494","129.5659092933","054-276-5046","054-284-2379","https://school.gyo6.net/psths","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000753","구미고등학교","04","공립","일반고등학교","N","단설","주간","19791121","19791121","4719010300","경상북도 구미시 도량동","600.","39198","39198","경상북도 구미시 문장로 42","(도량동, 구미고등학교)","36.1373652","128.333403","054-452-9115","054-604-2111","http://school.gyo6.net/gumigo","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000756","구미여자고등학교","04","공립","일반고등학교","N","단설","주간","19800826","19800826","4719010300","경상북도 구미시 도량동 501~791","682번지.","730909","39198","경상북도 구미시 문장로 114","(도량동)","36.145073","128.33209","054-452-0052","054-452-8340","https://school.gyo6.net/gumigirlhs","녀","N","","N"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000758","구미정보고등학교","04","공립","특성화고등학교","N","단설","주간","19691202","19691202","4719012100","",".","","39427","경상북도 구미시 검성로 143","(황상동, 구미정보고등학교)","36.1183404","128.4339375","054-475-3600","054-475-3614","https://school.gyo6.net/gumi-infohs","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000759","구미여자상업고등학교","04","공립","특성화고등학교","N","단설","주야간","19691202","19691202","4719010900","경북 구미시 형곡동","198.","730930","39316","경상북도 구미시 형곡로38길 9-14","(형곡동, 구미여자상업고등학교)","36.1068869","128.3412192","054-452-2757","054-451-3216","http://school.gyo6.net/gys","녀","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000764","근화여자고등학교","04","사립","일반고등학교","N","단설","주간","19490228","19490228","4713012500","경상북도 경주시 용강동","870.","780140","38093","경상북도 경주시 승삼2길 55","(용강동, 근화여자고등학교/근화여자중학교)","35.873948","129.227026","054-742-2393","054-741-1369","https://school.gyo6.net/geunhwahs","녀","N","","N"
"경상북도교육청","경상북도교육청","경상북도 의성군","S150000765","금성고등학교","04","공립","일반고등학교","N","병설","주간","19730301","19730301","4773037036","경상북도 의성군 금성면 탑리리","582번지.","769853","37353","경상북도 의성군 금성면 금성현서로 41-66","(금성면,금성중고등학교)","36.2545039888","128.6894102573","054-834-0183","054-834-0320","http://school.gyo6.net/kbgsms","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 의성군","S150000767","금성여자상업고등학교","04","공립","특성화고등학교","N","단설","주간","19901008","19901008","4773037036","경상북도 의성군 금성면 탑리리","960.","769854","37353","경상북도 의성군 금성면 탑운길 99","(금성면)","36.2612087","128.6863572","054-833-6981","054-834-6984","http://keumsunghs.school.gyo6.net","녀","Y","20190301","N"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000768","금오고등학교","04","공립","일반고등학교","N","단설","주간","20010301","20010301","4719011400","경상북도 구미시 광평동","299-3번지.","730080","39323","경상북도 구미시 박정희로25길 15",", (금오고등학교) (광평동)","36.1078954","128.3552803","054-456-4365","054-457-6596","http://school.gyo6.net/geumohs","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000769","금오공업고등학교","04","공립","특수목적고등학교","N","단설","주간","19721115","19721115","4719011300","경상북도 구미시 공단1동","111번지.","730901","39248","경상북도 구미시 구미대로30길 59",", 금오공업고등학교 (공단동, 금오공고)","36.1183364","128.3677789","054-461-1681","054-461-1688","https://school.gyo6.net/koths","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000770","구미제일고등학교","04","사립","일반고등학교","N","단설","주간","19850319","19841217","4719010200","경북 구미시 지산동","산15-1번지.","730160","39129","경상북도 구미시 선산대로 129","(지산동, 구미제일고)","36.1430571","128.3454625","054-452-8424","054-452-8423","https://school.gyo6.net/gmjeil","녀","N","","N"
"경상북도교육청","경상북도교육청","경상북도 청도군","S150000771","금천고등학교","04","공립","일반고등학교","N","병설","주간","19730305","19721228","4782036031","경북 청도군 금천면 동곡1리","1000-1.","714872","38362","경상북도 청도군 금천면 선암로 574-11","(금천면, 금천중고등학교)","35.6881524873","128.8949955146","054-370-3510","054-373-6314","https://school.gyo6.net/geumcheonhs","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 영천시","S150000773","경북휴먼테크고등학교","04","사립","특성화고등학교","N","병설","주간","19930301","19930301","4723025021","경상북도 영천시 금호읍 교대리","172-1.","770802","38877","경상북도 영천시 금호읍 교대길 8-18","(금호읍, 경북휴먼테크고등학교)","35.9323783","128.873695","054-333-3611","054-333-6421","https://school.gyo6.net/khumantech","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 영천시","S150000774","포은고등학교","04","공립","일반고등학교","N","병설","주간","19840301","19831121","4723025024","경북 영천시 금호읍 대미리","930-23.","770805","38873","경상북도 영천시 금호읍 성천앞길 112-53","(금호읍, 금호여중·포은고등학교)","35.9400184","128.8784232","054-332-6564","054-331-7592","https://school.gyo6.net/geumho","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 포항시 북구","S150000775","경북세무고등학교","04","공립","특성화고등학교","N","병설","주간","19771112","19771112","4711334021","경상북도 포항시 북구 기계면 현내리","1089번지.","791824","37528","경상북도 포항시 북구 기계면 기계로 218",", 경북세무고등학교","36.0773669671","129.1960800739","054-243-2203","054-244-3138","school.gyo6.net/gts","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 안동시","S150000776","길원여자고등학교","04","사립","일반고등학교","N","단설","주간","19741019","19740105","4717013200","경상북도 안동시 안막동","73번지.","760340","36682","경상북도 안동시 퇴계로 250",", 길원여자고등학교 (안막동)","36.579387","128.7350309","054-858-3122","054-858-3126","http://gilwon.hs.kr","녀","N","","N"
"경상북도교육청","경상북도교육청","경상북도 김천시","S150000777","김천고등학교","04","사립","자율고등학교","N","단설","주간","19310509","19310509","4715011400","경북 김천시 부곡동","777.","740110","39632","경상북도 김천시 송설로 90",", 김천고등학교 (부곡동)","36.1219144","128.0925233","054-429-9700","054-429-9714","http://school.gyo6.net/gimcheon/main.do","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 김천시","S150000778","김천생명과학고등학교","04","공립","특성화고등학교","N","단설","주간","19420501","19420501","4715010900","경북 김천시 교동","581.","740160","39522","경상북도 김천시 부거리길 310","(교동)","36.1358786","128.1000132","054-420-5140","054-437-2118","https://school.gyo6.net/gcbshs","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 김천시","S150000780","김천상업고등학교","04","공립","특성화고등학교","N","단설","주간","19720204","19720204","4715042021","경상북도 김천시 지례면 교리","412.","740931","39691","경상북도 김천시 지례면 남김천대로 1947","(지례면, 김천상업고등학교)","35.9978144986","128.0320680635","054-434-1815","054-435-4648","http://school.gyo6.net/kcch","남녀공학","Y","20190301","N"
"경상북도교육청","경상북도교육청","경상북도 김천시","S150000781","김천여자고등학교","04","공립","일반고등학교","N","단설","주간","19350423","19350423","4715010300","경상북도 김천시 모암동","100-1(김천여자고등학교).","740010","39582","경상북도 김천시 모암사랑10길 9",", 김천여자고등학교 (모암동)","36.1270644","128.1223019","054-420-7500","054-434-1775","http://school.gyo6.net/kcgh","녀","N","","N"
"경상북도교육청","경상북도교육청","경상북도 김천시","S150000782","김천예술고등학교","04","사립","일반고등학교","N","단설","주간","19851230","19851230","4715010900","경상북도 김천시 교동","527-1번지 .","740160","39522","경상북도 김천시 한일길 11-30","(교동, 김천예술고등학교)","36.1375963","128.0967415","054-431-7004","054-433-5555","https://school.gyo6.net/gcarts","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 김천시","S150000783","김천중앙고등학교","04","공립","일반고등학교","N","단설","주간","19640104","19640104","4715012000","경북 김천시 양천동","1153번지.","740060","39660","경상북도 김천시 해오름1로 36","김천중앙고등학교","36.0861844","128.1043047","054-435-4011","054-435-4014","http://school.gyo6.net/kcjahs","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 의성군","S150000788","다인정보고등학교","04","공립","특성화고등학교","N","병설","주간","19711129","19711129","4773044040","경상북도 의성군 다인면 도암리","283.","769972","769972","경상북도 의성군 다인면 서릉2길 27","(다인면,다인중고등학교)","36.452951","128.354875","054-861-4015","054-861-8648","http://www.dainhigh.hs.kr","남녀공학","Y","20170228","N"
"경상북도교육청","경상북도교육청","경상북도 고령군","S150000790","대가야고등학교","04","사립","일반고등학교","N","단설","주간","19831121","19831121","4783025321","경상북도 고령군 대가야읍 쾌빈리","산 33-2.","717803","40132","경상북도 고령군 대가야읍 가야금길 36","(대가야읍,대가야고등학교)","35.7441136","128.2714279","054-954-3516","054-955-4518","http://school.gyo6.net/daegaya","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경산시","S150000791","대구가톨릭대학교사범대학부속무학고등학교","04","사립","일반고등학교","N","부속","주간","19741107","19741107","4729025023","경상북도 경산시 하양읍 도리","77.","712907","38410","경상북도 경산시 하양읍 금송로 71-11","(하양읍, 무학중고등학교)","35.9196307","128.8174752","053-854-8015","053-854-5483","http://school.gyo6.net/muhakgo","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 포항시 북구","S150000793","대동고등학교","04","사립","일반고등학교","N","단설","주간","19721225","19721225","4711311800","경북 포항시 북구 우현동","201-6.","791814","37635","경상북도 포항시 북구 우창서길 34",", 대동고등학교 (우현동, 대동중학교)","36.0588116","129.3580497","054-241-1216","054-241-3305","https://school.gyo6.net/daedonghs","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 영주시","S150000794","대영고등학교","04","사립","일반고등학교","N","단설","주간","19811231","19811231","4721010400","경북 영주시 휴천1동","1770번지.","750914","36155","경상북도 영주시 구성로150번길 45","(휴천동, 대영고등학교)","36.483237","128.375588","054-630-7803","054-630-7804","https://school.gyo6.net/daeyoung","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 예천군","S150000797","대창고등학교","04","사립","일반고등학교","N","병설","주간","19530415","19530415","4790025022","경북 예천군 예천읍 노상리","1번지.","757804","36824","경상북도 예천군 예천읍 대창학교길 33","(예천읍, 대창중.고등학교)","36.6602602","128.4543352","054-654-3340","054-652-3382","https://school.gyo6.net/daechanghs","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000798","도개고등학교","04","사립","일반고등학교","N","병설","주간","19740105","19740105","4719033025","경북 구미시 도개면 궁기리","754.","730862","39103","경상북도 구미시 도개면 도안로 120","(도개면, 도개중고등학교)","36.301573","128.330609","054-474-1052","054-474-1505","https://school.gyo6.net/dogaehs","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 칠곡군","S150000802","동명고등학교","04","공립","일반고등학교","N","병설","주간","19831121","19831121","4785032031","경상북도 칠곡군 동명면 송산리","111.","718922","39860","경상북도 칠곡군 동명면 백송로 797","(동명면)","35.984881","128.54893","054-976-6351","054-976-2997","https://school.gyo6.net/dmhs","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 영주시","S150000804","한국미래산업고등학교","04","사립","특성화고등학교","N","단설","주간","19721226","19721226","4721010300","경북 영주시 하망동","595번지.","750913","36095","경상북도 영주시 영봉로 49",", 영주동산고등학교 (하망동,동산여중고등학교)","36.8190304","128.6448286","054-630-7520","054-630-7575","https://school.gyo6.net/kfi","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 포항시 북구","S150000805","동지고등학교","04","사립","일반고등학교","N","단설","주간","19510831","19510831","4711311700","경상북도 포항시 북구 용흥동","산125-3.","791170","37689","경상북도 포항시 북구 용흥로 123",", 동지고등학교","36.0387295","129.3461126","054-244-7003","054-248-2946","http://school.gyo6.net/dongjihs","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 포항시 북구","S150000806","동지여자고등학교","04","사립","일반고등학교","N","단설","주간","19660301","19660301","4711311700","경북 포항시 북구 용흥동","511.","791811","37689","경상북도 포항시 북구 용흥로 123",", 동지여자고등학교 (용흥동, 동지중고등학교, 동지여자중고등학교)","36.0387295","129.3461126","054-231-1101","054-231-1106","http://school.gyo6.net/djghs","녀","N","","N"
"경상북도교육청","경상북도교육청","경상북도 성주군","S150000810","명인고등학교","04","사립","특성화고등학교","N","병설","주간","19791121","19791121","4784031038","경상북도 성주군 선남면 도성리","1111-1.","719832","40047","경상북도 성주군 선남면 도성2길 4","(선남면, 명인고등학교)","35.885957","128.363275","054-933-1080","054-933-7246","http://myin.hs.kr","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 청도군","S150000811","모계고등학교","04","사립","일반고등학교","N","병설","주간","19530121","19530121","4782025027","",".","","38329","경상북도 청도군 화양읍 청화로 67","(화양읍,모계고등학교)","35.6495501","128.7358698","054-373-2707","054-373-3134","http://school.gyo6.net/mogyehs","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000812","무산고등학교","04","사립","일반고등학교","N","병설","주간","19540420","19540420","4713025625","경상북도 경주시 건천읍 천포리","636번지.","780901","38179","경상북도 경주시 건천읍 천포방내길 18","(건천읍, 무산고등학교)","35.8451986","129.0973928","054-751-0207","054-751-7389","https://school.gyo6.net/musan","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 문경시","S150000815","문경공업고등학교","04","공립","특성화고등학교","N","단설","주간","19520925","19511129","4728010100","경상북도 문경시 점촌동","5-2.","745120","36944","경상북도 문경시 영신로 65",", 문경공업고등학교 (점촌동)","36.594057","128.2075","054-550-1563","054-554-1787","https://school.gyo6.net/mungyeong-th","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 문경시","S150000816","문경여자고등학교","04","사립","일반고등학교","N","단설","주간","19560116","19560116","4728010100","경북 문경시 점촌동","465번지.","745885","36955","경상북도 문경시 여고길 40","(점촌동, 문경여자고등학교)","36.5932337","128.1939945","054-553-2565","054-555-9267","https://school.gyo6.net/mungyeong","녀","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경산시","S150000818","문명고등학교","04","사립","일반고등학교","N","단설","주간","19661117","19661117","4729010600","경상북도 경산시 백천동","산16번지.","712100","38649","경상북도 경산시 경청로230길 30","(백천동)","35.805586","128.74412","053-813-7312","053-813-1338","https://school.gyo6.net/munmyeonghs","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 문경시","S150000819","문창고등학교","04","사립","일반고등학교","N","단설","주간","19701226","19701226","4728010300","경북 문경시 흥덕동","716번지.","745891","36965","경상북도 문경시 돈달로 145","(흥덕동, 문창고등학교)","36.6027746","128.1992312","054-556-1510","054-556-1513","https://school.gyo6.net/munchang","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000820","문화고등학교","04","사립","일반고등학교","N","단설","주간","19511015","19511011","4713011400","경상북도 경주시 충효동","717번지.","780250","38057","경상북도 경주시 충현로 98","(충효동, 문화고등학교/문화중학교)","35.8532742","129.1688859","054-742-2544","054-749-2005","https://school.gyo6.net/moonhwa","남","N","","N"
"경상북도교육청","경상북도교육청","경상북도 의성군","S150000822","경북소프트웨어마이스터고등학교","04","공립","특성화고등학교","N","병설","주간","19680610","19671226","4773038040","",".","","37362","경상북도 의성군 봉양면 봉호로 14","경북소프트웨어마이스터고등학교","36.3030417","128.584875","054-832-2903","054-833-2877","https://school.gyo6.net/gbsw","남녀공학","N","","N"
"경상북도교육청","경상북도교육청","경상북도 봉화군","S150000823","봉화고등학교","04","공립","자율고등학교","N","병설","주간","19580415","19580415","4792025022","경상북도 봉화군 봉화읍 삼계리","40번지.","755801","36240","경상북도 봉화군 봉화읍 내성로 138","(봉화읍)내성로 138","36.895759","128.7397337","054-679-3355","054-679-3365","https://school.gyo6.net/bonghwahs/main.do?sysId=bonghwahs","남녀공학","N","","N"
